"id","user_id","created_at","status","failure_reason"
"00045139","b96f65dd",2023-12-22 10:33:21.373709,"success",NA
"0008a92e","bb7b0125",2023-01-25 05:49:04.842417,"failed","foreign id"
"0008ad08","78e13fd7",2023-05-10 09:09:57.833922,"failed","foreign id"
"001dd365","7c205727",2023-04-20 09:56:17.163923,"failed","unsupported id type"
"001f5b9b","583a1de0",2023-08-02 02:02:48.588218,"success",NA
"0020625b","919347d9",2023-02-13 19:09:52.786045,"failed","poor image quality"
"0020e2c4","667599cf",2023-03-28 16:17:30.34418,"failed","unsupported id type"
"00233974","a7631969",2023-08-21 18:21:58.043828,"failed","foreign id"
"004142ce","63354d0c",2023-11-25 16:27:12.412397,"success",NA
"00492833","03025f57",2023-09-27 11:47:14.609534,"success",NA
"004ad196","38ba8c1e",2023-03-16 05:48:46.094269,"success",NA
"004c3a02","f515b092",2023-11-24 18:04:23.150439,"success",NA
"004f968d","d1f12fca",2023-08-19 23:10:29.903385,"success",NA
"0057ed64","e89177c3",2023-09-28 05:10:19.907741,"failed","foreign id"
"0057ffa7","2b263106",2023-06-01 02:41:40.912149,"failed","foreign id"
"0062313f","9732b316",2023-02-12 21:23:45.741284,"success",NA
"006bf63b","0995da5d",2023-08-28 13:21:58.090505,"failed","foreign id"
"007cd0eb","8835c620",2023-12-23 15:26:51.849989,"failed","foreign id"
"007ead24","f91e32fd",2023-10-14 10:17:16.369779,"failed","foreign id"
"00803e69","8673575c",2023-12-06 22:41:43.307954,"success",NA
"00826bca","9368a20a",2023-04-20 12:03:24.230378,"failed","foreign id"
"0083b9ca","a730d44d",2023-07-09 07:03:35.181368,"success",NA
"008a2eeb","d6882355",2023-10-10 09:15:08.152183,"failed","unsupported id type"
"008eb6cf","f73a6503",2023-12-15 13:30:08.332359,"success",NA
"008f229b","7a00fe88",2023-09-20 16:35:33.096614,"failed","unsupported id type"
"009366e9","5a2b327c",2023-11-05 22:25:57.126435,"failed","unsupported id type"
"00988962","507fb293",2023-10-17 12:20:13.620691,"failed","foreign id"
"00a9b823","5153a6ea",2023-02-04 23:29:47.13982,"failed","foreign id"
"00c369cf","cf3d9ca8",2023-05-05 07:38:08.917459,"success",NA
"00effeb7","95726e06",2023-12-20 15:55:39.594549,"failed","foreign id"
"00f1df3f","8f177dca",2023-02-13 18:13:19.323116,"failed","foreign id"
"00f2326a","a732657f",2023-10-12 17:38:44.732936,"success",NA
"00f543f1","7f7d0674",2023-08-19 05:26:16.046739,"failed","foreign id"
