"user_id","country","platform","signed_up_at","phone_verified_at","email_verified_at","id_verified_at"
"0005dbc9","US","ios",2023-08-27 14:16:00,NA,NA,NA
"00080e40","US","android",2023-04-27 02:54:00,2023-04-27 02:58:41.103569,2023-04-27 02:55:05.560818,NA
"0009a830","CA","ios",2023-10-26 08:42:00,NA,NA,NA
"00179e0d","US","",2023-08-02 10:20:00,NA,NA,NA
"001d0f11","US","ios",2023-06-28 23:26:00,2023-06-28 23:31:15.530201,2023-06-28 23:27:44.335701,2023-06-29 17:39:34.863345
"001fa628","","",2023-08-17 21:06:00,NA,NA,NA
"0020469a","US","ios",2023-11-18 14:48:00,2023-11-18 14:53:14.423842,2023-11-18 14:50:12.986347,NA
"002840e5","GB","ios",2023-06-19 21:34:00,2023-06-19 21:40:49.862429,2023-06-19 21:37:00.945507,2023-06-21 20:50:45.631291
"003503f2","CA","ios",2023-05-28 05:56:00,NA,NA,NA
"003c38fa","US","android",2023-02-07 23:56:00,2023-02-08 00:01:41.986166,2023-02-07 23:58:54.265867,NA
"003fdfac","US","android",2023-08-31 10:10:00,2023-08-31 10:14:46.907735,2023-08-31 10:11:54.340609,2023-08-31 20:39:36.85462
"00422ca2","","",2023-08-20 11:34:00,NA,NA,NA
"004c3834","US","ios",2023-11-27 08:42:00,2023-11-27 08:47:21.915611,2023-11-27 08:43:38.097437,2023-11-27 19:52:18.435335
"004cba6c","US","ios",2023-09-26 12:00:00,NA,NA,NA
"0050007e","BR","",2023-11-23 22:20:00,NA,NA,NA
"0052d5d3","US","ios",2023-08-11 17:46:00,2023-08-11 17:50:08.702294,2023-08-11 17:47:13.09919,NA
"00554968","US","ios",2023-02-13 08:50:00,NA,NA,NA
"00578b98","CA","android",2023-06-25 07:30:00,2023-06-25 07:33:49.305093,2023-06-25 07:31:57.671087,2023-06-26 04:59:48.64025
"005c20c3","","",2023-08-15 14:08:00,NA,NA,NA
"006a0036","US","ios",2023-09-21 10:06:00,NA,NA,NA
"006c69dc","US","ios",2023-12-25 06:38:00,2023-12-25 06:43:26.231455,2023-12-25 06:41:07.663213,2023-12-26 09:33:26.680617
"0073e886","US","ios",2023-02-17 21:08:00,2023-02-17 21:14:04.045088,2023-02-17 21:11:01.361806,NA
"00823667","CA","android",2023-09-17 20:46:00,2023-09-17 20:52:16.69712,2023-09-17 20:48:49.304711,2023-09-18 16:22:00.690961
"0082b353","US","ios",2023-11-15 19:40:00,2023-11-15 19:45:22.672966,2023-11-15 19:42:39.69134,2023-11-16 06:32:44.543265
"00836493","CA","android",2023-02-13 06:22:00,2023-02-13 06:26:28.312146,2023-02-13 06:24:30.132136,2023-02-13 20:20:52.334823
"008401a7","BR","android",2023-05-12 08:52:00,NA,NA,NA
